Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Gotspace Bozrah Campus,Bozrah St,-72.1923587,41.5391252,GEOMETRIC_CENTER,4380,0.5
Gotspace Bozrah - Building 3,Bozrah St,-72.1923587,41.5391252,GEOMETRIC_CENTER,4380,0.5
Gotspace Norwich - Building 2,368 Plain Hill Rd,-72.104732,41.6012766,RANGE_INTERPOLATED,4380,0.5
Gotspace Norwich - Building 3,388 Plain Hill Rd,-72.1047473,41.6010996,RANGE_INTERPOLATED,4380,0.5
Gotspace Bozrah - Building 1,Bozrah St,-72.1923587,41.5391252,GEOMETRIC_CENTER,4380,0.5
Gotspace Bozrah - Building 2,Bozrah St,-72.1923587,41.5391252,GEOMETRIC_CENTER,4380,0.5
Gotspace Norwich - Building 1,334 Plain Hill Rd,-72.1034331,41.5838788,ROOFTOP,4380,0.5
Gotspace Griswold 2 Campus, Bishop Crossing Rd / Polinsky Rd,-71.9438232,41.6302749,GEOMETRIC_CENTER,4380,0.5
Gotspace Griswold 2 - Building 7,Bishop Crossing Rd,-71.9438232,41.6302749,GEOMETRIC_CENTER,4380,0.5
Gotspace Griswold 2 - Building 6,Bishop Crossing Rd,-71.9438232,41.6302749,GEOMETRIC_CENTER,4380,0.5
Gotspace Griswold 2 - Building 4,Bishop Crossing Rd,-71.9438232,41.6302749,GEOMETRIC_CENTER,4380,0.5
Gotspace Griswold 2 - Building 5,Bishop Crossing Rd,-71.9438232,41.6302749,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 1 Campus,775-965 Northrop Rd,-72.7715053,41.4859042,RANGE_INTERPOLATED,4380,0.5
Gotspace Wallingford 2 - Building 3,Tankwood Rd,-72.7828484,41.4987184,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 1 - Building 2,961 Northrop Rd,-72.771864,41.48325,RANGE_INTERPOLATED,4380,0.5
Gotspace Wallingford 2 - Building 1,Barnes Industrial Rd S,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 1 - Building 1,775 Northrop Rd,-72.7715053,41.4859042,RANGE_INTERPOLATED,4380,0.5
Gotspace Wallingford 2 - Building 6,Barnes Industrial Rd S,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 1 - Building 3,965 Northrop Rd,-72.773283,41.48933,ROOFTOP,4380,0.5
Gotspace Wallingford 2 - Building 7,Barnes Industrial Rd S,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
