Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Lumen College Park,4311 Best Rd,-84.458498,33.6375902,ROOFTOP,73516.55952,8.392301316
Southern Telecom Atlanta,270 Peachtree St,-84.3878262,33.7618627,ROOFTOP,73516.55952,8.392301316
Verizon Atlanta,4000 Highland Parkway SE,-84.5031631,33.829084,ROOFTOP,73516.55952,8.392301316
Lumen Atlanta,345 Courtland St NE,-84.3836503,33.765199,ROOFTOP,73516.55952,8.392301316
Lumen Atlanta 2,"180 Peachtree St., N.W.",-84.3877746,33.7585633,ROOFTOP,73516.55952,8.392301316
Lumen Atlanta 5,953 Donnelly Ave SW,-84.4191234,33.7287884,ROOFTOP,73516.55952,8.392301316
Atlanta Data Center,55 Marietta St NW,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
American Tower EDC Atlanta,2374 Fairburn Road Southwest,-84.5111047,33.6900594,ROOFTOP,73516.55952,8.392301316
55 Marietta Street,55 Marietta Street,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
Colo Atl,55 Marietta Street,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
Peachtree Data Center,180 Peachtree Street,-84.3878051,33.7585442,ROOFTOP,73516.55952,8.392301316
470 Exchange,470 East Paces Ferry Road,-84.3726339,33.839493,ROOFTOP,73516.55952,8.392301316
365 Data Centers -  Alpharetta,11650 Great Oaks Way,-84.2727274,34.0634302,ROOFTOP,73516.55952,8.392301316
STACK Infrastructure ATL01A,3200 Webb Bridge Rd,-84.2642781,34.0757901,ROOFTOP,73516.55952,8.392301316
Cologix NNJ2,9 Wing Drive,-84.5306836,33.9457841,RANGE_INTERPOLATED,60274.02985,6.880597015
Cologix NNJ4,16 Wing Drive,-84.5306725,33.9457718,RANGE_INTERPOLATED,60274.02985,6.880597015
Core Scientific Marble,155 Palmer Ln,-83.9161407,35.18552252,GoogleMap,43814.36066,5.001639344
Peacecom Knoxville,500 W. Summit Hill,-83.9214069,35.965453,ROOFTOP,28850.86957,3.293478261
Windstream Knoxville,2333 Lovell Rd,-84.125031,35.9519089,RANGE_INTERPOLATED,28850.86957,3.293478261
Infinity Data Center,2575 Willow Point Way,-84.139185,35.958519,ROOFTOP,28850.86957,3.293478261
"CENTRA Portland, ME (PWM01)",340 Cumberland Ave,-83.9170923,35.9620652,RANGE_INTERPOLATED,5256,0.6
TierPoint Raleigh - RTP,99 T W. Alexander Drive,-3.3627042,55.1155531,RANGE_INTERPOLATED,43814.36066,5.001639344
Crown Castle Providence,300 Carpenter St,103.8479541,1.288033,GEOMETRIC_CENTER,2920,0.33333333
