Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Microsoft Lyle Creek,1521 N NC 16 Hwy,-81.205876,35.727321,ROOFTOP,43814.36066,5.001639344
Apple Newton Data Center,5977 Startown Rd,-81.2569565,35.5877634,ROOFTOP,43814.36066,5.001639344
Lumen Greensboro 1,201 E Creekridge Road,-79.79453966,36.02893858,GoogleMap,43814.36066,5.001639344
Lumen Greensboro 2,496 Gallimore Dairy Rd,-79.9512494,36.0692008,ROOFTOP,43814.36066,5.001639344
Dynamic Quest,4821 Koger Blvd.,-79.8816114,36.049759,ROOFTOP,43814.36066,5.001639344
GIGA Data Center-1,1035 Mecklenburg Hwy,-80.8283609,35.5639878,ROOFTOP,43814.36066,5.001639344
CyrusOne DUR1 - Durham,2223 NE Creek Pkwy,-78.8808079,35.9349768,ROOFTOP,43814.36066,5.001639344
Microsoft Boyd Farms Campus,Zeb Haynes Rd & Old Maiden Rd,-81.2305543,35.5874982,GEOMETRIC_CENTER,43814.36066,5.001639344
Microsoft Boyd Farms Data Center 1,1260 Old Maiden Rd,-81.2339632,35.5889995,RANGE_INTERPOLATED,43814.36066,5.001639344
Segra Winston-Salem,3310 Old Lexington Road,-80.226524,36.0558123,ROOFTOP,43814.36066,5.001639344
SolidSpace,450 W. Hanes Mill Road,-80.2819728,36.1811969,ROOFTOP,43814.36066,5.001639344
NC Data Center Park,2394 Penny Road,-81.15647383,35.69999839,GoogleMap,43814.36066,5.001639344
MCA corporate,6048 century oaks dr,-78.8948273,35.9413924,RANGE_INTERPOLATED,28850.86957,3.293478261
Meta Davenport,Hillandale Rd & Enterprise Way,-78.9356533,36.0375401,GEOMETRIC_CENTER,206444,23.5666667
DartPoints Charleston,8480 Palmetto Commerce Parkway,-80.101239,32.9649027,ROOFTOP,134904,15.4
Google Berkeley County Data Center,1669 Garrott Ave,-80.0388922,33.0723666,ROOFTOP,134904,15.4
Elink Datacenter,3227 Walter Drive,-80.0589276,32.7301282,ROOFTOP,134904,15.4
Lumen Spartanburg 1,145 North Church Street,-80.8294463,35.2392186,GEOMETRIC_CENTER,134904,15.4
DartPoints Columbia,1000 Catawba Street,-81.0305887,33.9878656,ROOFTOP,134904,15.4
Segra Columbia,1500 Hampton St,-81.029854,34.0065595,ROOFTOP,134904,15.4
Opticom Bozeman,144 Quail Run Road,-79.0147963,33.7898253,RANGE_INTERPOLATED,192720,22
