Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
Lumen Los Angeles,33566.97482,3.831846441,818 W. 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,Los Angeles,68,California,271
Equinix LA1,33566.97482,3.831846441,600 West 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,Los Angeles,68,California,271
Telecom Center LA,33566.97482,3.831846441,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,Los Angeles,68,California,271
China Telecom One Wilshire,33566.97482,3.831846441,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
Psychz LA Suite 100 & 200,33566.97482,3.831846441,700 Wilshire Blvd,-118.4950951,34.0213233,ROOFTOP,Los Angeles,68,California,271
Marina Towers,33566.97482,3.831846441,4676 Admiralty Way,-118.4400862,33.9803656,ROOFTOP,Los Angeles,68,California,271
Downtown Colo Corporation,33566.97482,3.831846441,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,Los Angeles,68,California,271
Lumen Los Angeles 4,33566.97482,3.831846441,600 Wilshire Blvd,-118.2564953,34.0479589,ROOFTOP,Los Angeles,68,California,271
DataBank - zColo - 707 Wilshire Blvd,33566.97482,3.831846441,707 Wilshire Blvd,-118.2570021,34.0492187,ROOFTOP,Los Angeles,68,California,271
LAX Data Center,33566.97482,3.831846441,6171 West Century Blvd,-118.393553,33.945894,ROOFTOP,Los Angeles,68,California,271
One Data Center America,33566.97482,3.831846441,3833 Ebony St,-117.5682629,34.06675311,GoogleMap,Los Angeles,68,California,271
Long Beach Data Center,33566.97482,3.831846441,3910 E 7th St.,-118.1465216,33.77508565,GoogleMap,Los Angeles,68,California,271
NocRoom Los Angeles Colocation,33566.97482,3.831846441,530 W 6th Street Penthouse,-118.2550835,34.04833297,GoogleMap,Los Angeles,68,California,271
Vernon Data Center,33566.97482,3.831846441,5001 S. Soto Street,-118.2196611,33.9981009,ROOFTOP,Los Angeles,68,California,271
IHNetworks Datacenter (SFV1),33566.97482,3.831846441,20339 Nordhoff Street,-118.5771956,34.232521,ROOFTOP,Los Angeles,68,California,271
611 Wilshire,33566.97482,3.831846441,611 Wilshire Blvd,-118.2563018,34.0483839,ROOFTOP,Los Angeles,68,California,271
818 West 7th Street,33566.97482,3.831846441,818 West 7th Street,-118.2593775,34.0487865,ROOFTOP,Los Angeles,68,California,271
Hostrunway Data Center,33566.97482,3.831846441,900 N Alameda St #200,-118.2353984,34.0581105,ROOFTOP,Los Angeles,68,California,271
Downtown Data Center,33566.97482,3.831846441,1200 West 7th Street,-118.2658542,34.0513023,ROOFTOP,Los Angeles,68,California,271
