Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
CARI.net,8929 Complex Drive,-117.13372,32.82962,ROOFTOP,33566.97482,3.831846441
Lumen San Diego 2,8923 Complex Drive,-117.134171,32.829841,ROOFTOP,33566.97482,3.831846441
1525 Comstock St (SJC16),1525 Comstock Street,-116.0090471,36.199322,RANGE_INTERPOLATED,33566.97482,3.831846441
1201 Comstock St (SJC15),1201 Comstock Street,-116.0082562,36.2000151,ROOFTOP,33566.97482,3.831846441
1725 Comstock St (SJC29),1725 Comstock Street,-116.0092209,36.1992526,RANGE_INTERPOLATED,33566.97482,3.831846441
Evocative SJC14,1525 Comstock Street,-116.0090471,36.199322,RANGE_INTERPOLATED,33566.97482,3.831846441
DataBank SNA1 - Irvine,17222 Von Karman Avenue,-117.8406041,33.6904602,ROOFTOP,33566.97482,3.831846441
DataBank SNA2 - Irvine,17400 Von Karman Avenue,-117.842321,33.687889,ROOFTOP,33566.97482,3.831846441
Millennium Systems Inc,580 Wald,-117.7342483,33.63190091,GoogleMap,33566.97482,3.831846441
Aecero,2463 W La Palma Ave,-117.9709957,33.8496974,ROOFTOP,33566.97482,3.831846441
Centersquare - Los Angeles LAX3,17836 Gillette Ave.,-117.8487271,33.6873393,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Anaheim,300 S Harbor Blvd.,-117.9182179,33.8316095,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Anaheim 2,1750 W Penhall Way,-117.9451281,33.8347622,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Rialto,282 S Sycamore Ave,-118.3427066,34.0690601,RANGE_INTERPOLATED,33566.97482,3.831846441
Orange County Internet Exchange,2001 E. Dyer Rd,-117.8439486,33.7083825,ROOFTOP,33566.97482,3.831846441
TPx Santa Ana Data Center,2001 E Dyer Rd,-117.8439486,33.7083825,ROOFTOP,33566.97482,3.831846441
Lumen Anaheim 1,2461 W. La Palma Avenue,-117.9709649,33.848538,ROOFTOP,33566.97482,3.831846441
Data Canopy - Irvine,16842 Von Karman Ave,-117.8359967,33.6943002,ROOFTOP,33566.97482,3.831846441
IC2NET Tustin Data Center,14351 Myford Rd,-117.803253,33.7171776,ROOFTOP,33566.97482,3.831846441
Lumen Tustin,14452 Franklin Avenue,-118.3792866,34.0981311,RANGE_INTERPOLATED,33566.97482,3.831846441
H5 Data Centers San Luis Obispo,3610 Sacramento Dr.,-120.6407318,35.2557272,ROOFTOP,33566.97482,3.831846441
Lumen San Luis Obispo 1,775 Capitolio Way,-120.6450195,35.2565599,ROOFTOP,33566.97482,3.831846441
Lumen San Luis Obispo 2,254 Granada Drive,-120.6672777,35.25167735,GoogleMap,33566.97482,3.831846441
SBP1,3620 Sacramento Dr,-120.6414263,35.2553941,ROOFTOP,33566.97482,3.831846441
Lumen Fresno 2,7576 N Del Mar Ave,-119.7953622,36.8480552,ROOFTOP,33566.97482,3.831846441
Lumen Fresno 1,305 W. Napa Ave,-119.8151856,36.7469578,ROOFTOP,33566.97482,3.831846441
AISO Solar Powered Data Center,25655 Louisa Lane,-117.1522255,33.74819139,GoogleMap,33566.97482,3.831846441
200 North Nash Street (LAX11),200 North Nash Street,-118.3863261,33.9177324,ROOFTOP,33566.97482,3.831846441
Evocative LAX10,2260 E El Segundo Blvd,-118.232167,33.9158941,RANGE_INTERPOLATED,33566.97482,3.831846441
Goleta,81 David Love Place,-119.8397063,34.4363494,ROOFTOP,33566.97482,3.831846441
Got.Net,303 Potrero St.,-122.0305423,36.9814559,ROOFTOP,33566.97482,3.831846441
Lumen Bakersfield 2,1430 Truxtun Ave,-119.017792,35.373728,ROOFTOP,33566.97482,3.831846441
Lumen Santa Barbara,122 Helena Ave,-119.6901576,34.4144425,ROOFTOP,33566.97482,3.831846441
Santa Barbara,104 West Anapamu Street,-119.7062693,34.4223556,ROOFTOP,33566.97482,3.831846441
Cogent Data Center - Stockton,3807 Coronado Ave,-117.2377139,32.7321203,RANGE_INTERPOLATED,33566.97482,3.831846441
Centersquare Hawthorne,2301 W 120th St,-118.3207084,33.9243863,ROOFTOP,33566.97482,3.831846441
One Data Center Ontario,350 S. Milliken Ave,-117.559739,34.0600403,ROOFTOP,33566.97482,3.831846441
Provision Data Services,2020 Live Oak,-118.0294406,34.107593,GEOMETRIC_CENTER,78464.60072,8.957146201
Cogent Data Center - Buffalo,271 Bristol St,-117.8836398,33.6678483,RANGE_INTERPOLATED,31776.44531,3.627448095
9355 Grand Ave (ORD13),9355 Grand Ave,-117.8725292,34.1510858,RANGE_INTERPOLATED,49338.91391,5.632296108
9377 Grand Ave (ORD14),9377 Grand Ave,-117.8725292,34.1510858,RANGE_INTERPOLATED,49338.91391,5.632296108
Amazon AWS - New Carlisle,Huckleberry Rd & Gordon Rd,-117.9030312,33.7630368,GEOMETRIC_CENTER,49338.91391,5.632296108
Dulles 28 Technology Park,Pacific Blvd / Wapool Rd,-118.225292,33.9844123,GEOMETRIC_CENTER,71566.85412,8.169732206
1780 Business Center Drive (VA3),1780 Business Center Drive,-117.8595739,33.6785385,RANGE_INTERPOLATED,71566.85412,8.169732206
STACK Infrastructure NVA04B,22285 Lockridge Rd,-118.3944308,34.1288388,RANGE_INTERPOLATED,71566.85412,8.169732206
STACK Infrastructure NVA04C,22295 Lockridge Rd,-118.3944308,34.1288388,RANGE_INTERPOLATED,71566.85412,8.169732206
STACK Infrastructure NVA04A,22275 Lockridge Rd,-118.3944308,34.1288388,RANGE_INTERPOLATED,71566.85412,8.169732206
Fusion Connect - Spokane,118 N. Stevens St,-117.8760517,33.7882946,RANGE_INTERPOLATED,58108,6.6333333
OneNeck Madison,5515 Nobel Drive,-117.1920934,32.8710223,RANGE_INTERPOLATED,3918.947368,0.447368421
Netrality - 1102 Grand Ave,1102 Grand Ave.,-117.8125652,34.0016486,RANGE_INTERPOLATED,24309,2.775
Orion Data Centers,500 E. Walnut Street,-118.1401064,34.149386,RANGE_INTERPOLATED,24309,2.775
US Signal Southfield,21648 Melrose Ave,-118.3366718,34.0834759,GEOMETRIC_CENTER,10305.88235,1.176470588
Nexcess Southfield Data Center,21700 Melrose Ave,-118.3366718,34.0834759,GEOMETRIC_CENTER,10305.88235,1.176470588
Verizon Detroit #2,21555 Melrose Ave.,-118.3366718,34.0834759,GEOMETRIC_CENTER,10305.88235,1.176470588
Lumen Ogden 1,526 W 17th Street,-117.8874273,33.7599809,GEOMETRIC_CENTER,94890.25926,10.83222138
 I74 Wired Data Center,2300 Montana Ave,-118.4866919,34.0391036,RANGE_INTERPOLATED,15153.11538,1.729807692
Flexential Las Vegas - North Data Center,3330 E Lone Mountain Rd,-115.1012586,36.2483769,ROOFTOP,85417.675,9.750876142
DataBank LAS1 - Las Vegas,7185 Pollock Dr,-115.1460121,36.059177,ROOFTOP,85417.675,9.750876142
EdgeConneX Las Vegas - EDCLAS01,1541 Pama Ln,-115.1307871,36.0654152,ROOFTOP,85417.675,9.750876142
Novva Las Vegas,6115 Nicco Way,-115.0479209,36.270472,ROOFTOP,85417.675,9.750876142
Fiberhub LAS1,1110 Palms Airport Dr,-115.1383279,36.0660059,ROOFTOP,85417.675,9.750876142
UnitedLayer Las Vegas,7135 S Decatur Blvd,-115.2102389,36.0599212,ROOFTOP,85417.675,9.750876142
ColoXchange Las Vegas,3422 Neeham Rd,-115.101894,36.2319774,ROOFTOP,85417.675,9.750876142
TPx Las Vegas Data Center,1181 Grier Dr,-115.1380062,36.0676881,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 7,7135 S Decatur Boulevard,-115.2102389,36.0599212,ROOFTOP,85417.675,9.750876142
Google Henderson Data Center,560 W Warm Springs Rd,-115.0071702,36.0548504,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 4,4495 E Sahara Avenue,-115.0767723,36.1436482,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 8,5225 W. Capovilla Ave,-115.2141851,36.0578354,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 9,7365 Lindell Rd.,-115.2187352,36.0557834,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 10,7375 Lindell Rd,-115.223201,36.055531,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 11,7380 Lindell Road,-115.216217,36.0553117,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 12,5325 W. Capovilla Ave,-115.2136715,36.0591494,ROOFTOP,85417.675,9.750876142
Switch LAS VEGAS 15,5660 Badura Ave,-115.2225226,36.0639463,ROOFTOP,85417.675,9.750876142
isp.net Data Center,2595 Fremont Street,-115.1139665,36.1574869,ROOFTOP,85417.675,9.750876142
Centersquare - Las Vegas LAS11,5225 W Capovilla Ave,-115.2141851,36.0578354,ROOFTOP,85417.675,9.750876142
Centersquare - Las Vegas LAS10,7135 S Decatur Boulevard,-115.2102389,36.0599212,ROOFTOP,85417.675,9.750876142
Centersquare - Las Vegas LAS12,7365 South Lindell Rd,-115.2187352,36.0557834,ROOFTOP,85417.675,9.750876142
Lumen Las Vegas 1,1 Aerojet Way North,-115.1173021,36.2365611,ROOFTOP,85417.675,9.750876142
Lumen Las Vegas 3,3944 E Silvestri Ln,-115.0881194,36.07706805,GoogleMap,85417.675,9.750876142
Lumen Las Vegas 2,4485 E Sahara,-115.0774893,36.14274007,GoogleMap,85417.675,9.750876142
ColoVegas,2240 Corporate Cir,-115.0891776,36.0282316,ROOFTOP,85417.675,9.750876142
NocRoom Las Vegas Colocation,7135 South Decatur Blvd,-115.2102389,36.0599212,ROOFTOP,85417.675,9.750876142
EdgeCore Reno Campus,3000 USA Parkway,-119.481795,39.524352,ROOFTOP,85417.675,9.750876142
PowerHouse Reno,600 Britain Dr,-119.495145,39.557847,ROOFTOP,85417.675,9.750876142
Peru Shelf Technology Park,"Peru Dr & Denmark Dr, Tahoe-Reno Industrial Center",-119.4857911,39.5416506,GEOMETRIC_CENTER,85417.675,9.750876142
Google Storey County Data Center,7400 USA Pkwy,-119.424771,39.492107,ROOFTOP,85417.675,9.750876142
CENTRA Reno (RNO01),200 S Virginia St,-119.8113578,39.5229986,ROOFTOP,85417.675,9.750876142
South Valley Technology Park,9000 USA Pkwy,-119.3948304,39.471646,ROOFTOP,85417.675,9.750876142
Apple Sparks Data Center,21905 Reno Technology Pkwy E,-119.8142691,39.529919,APPROXIMATE,85417.675,9.750876142
Lumen Reno 1,220 Gardner Street,-118.3532687,34.0887207,GEOMETRIC_CENTER,85417.675,9.750876142
Roller Network,3545 Airway Dr.,-119.769965,39.4693478,ROOFTOP,85417.675,9.750876142
CC Communications,50 W. Williams Ave,-118.7778236,39.4751097,ROOFTOP,85417.675,9.750876142
Xogenous,1175 Fairview Drive,-119.80603,39.43615451,GoogleMap,85417.675,9.750876142
T5 Data Centers - T5@Charlotte,131 Riverside Ct,-117.3754942,33.9806005,APPROXIMATE,43814.36066,5.001639344
Charlotte Gateway Data Center,120 N Myers Street,-118.3272902,34.164447,ROOFTOP,43814.36066,5.001639344
TierPoint Charlotte 3,113 N. Myers St.,-118.2287922,34.0484246,RANGE_INTERPOLATED,43814.36066,5.001639344
DartPoints Asheville,100 Technology Drive,-117.7423769,33.6603352,ROOFTOP,43814.36066,5.001639344
Corserva Connecticut,100 Technology Drive,-117.7423769,33.6603352,ROOFTOP,4380,0.5
LightEdge - Lenexa,17501 W 98th St,-118.3068236,33.9469615,RANGE_INTERPOLATED,625.7142857,0.071428571
Intero Systems,Pheonix Parkway,-0.6785347,52.5028193,GEOMETRIC_CENTER,73516.55952,8.392301316
Lightpath Data Center,300 Bent St.,151.211206,-33.8648075,GEOMETRIC_CENTER,20830.76471,2.377941176
