Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
UnitedLayer San Francisco,200 Paul Ave,-122.398056,37.7237107,GoogleMap,33566.97482,3.831846441
Centersquare - Silicon Valley SFO3-A,1400 Kifer Rd,-121.9859667,37.3720552,ROOFTOP,33566.97482,3.831846441
Data Center 365 Main Street,365 Main Street,-122.3906972,37.78863243,GoogleMap,33566.97482,3.831846441
Centersquare - Silicon Valley SFO3-B,1320 Kifer Rd,-121.9889122,37.3727964,ROOFTOP,33566.97482,3.831846441
CoreSite Santa Clara (SV6),3001 Coronado Dr,-121.9721265,37.37628745,GoogleMap,33566.97482,3.831846441
Data Canopy - San Francisco,630 Third Street,-122.3940731,37.7793699,ROOFTOP,33566.97482,3.831846441
JMA Wired,360 Spear St,-122.3899881,37.7890842,ROOFTOP,33566.97482,3.831846441
ColoServe 360 Spear,360 Spear St,-122.3899881,37.7890842,ROOFTOP,33566.97482,3.831846441
Equinix SV8,529 Bryant St,-122.4066666,37.7727836,GEOMETRIC_CENTER,33566.97482,3.831846441
3105 Alfred Rd (SJC30),3105 Alfred Road,-121.9581002,37.37826676,GoogleMap,33566.97482,3.831846441
2820 Northwestern Pkwy (SJC34),2820 Northwestern Pkwy,-121.9736174,37.3724282,ROOFTOP,33566.97482,3.831846441
1500 Space Park Dr (SJC14),1500 Space Park Dr,-121.9551544,37.3757193,ROOFTOP,33566.97482,3.831846441
2220 De La Cruz Blvd (SC1),2220 De La Cruz Boulevard,-121.9434003,37.3619616,GEOMETRIC_CENTER,33566.97482,3.831846441
641 Walsh Ave (SJC37),641 Walsh Ave,-121.9469251,37.3709096,ROOFTOP,33566.97482,3.831846441
2403 Walsh St (SJC19),2403 Walsh Street,-121.9699056,37.37037856,GoogleMap,33566.97482,3.831846441
Evocative SJC11,2151 Mission College Blvd,-121.9622415,37.3894282,ROOFTOP,33566.97482,3.831846441
