Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Ark Data Centers Tucson,1215 E Pennsylvania St,-110.9538372,32.1721388,ROOFTOP,77200.83951,8.812881222
FirstDigital Tucson,3836 S Evans Blvd,-110.9534644,32.1764042,ROOFTOP,77200.83951,8.812881222
Simply Bits  Vault,5225 N. Sabino Canyon,-110.8246979,32.3022087,ROOFTOP,77200.83951,8.812881222
Login Top-Tier Data Center,4003 East Speedway Boulevard,-110.9072087,32.237287,ROOFTOP,77200.83951,8.812881222
4003 East Speedway Boulevard,4003 East Speedway Boulevard,-110.9072087,32.237287,ROOFTOP,77200.83951,8.812881222
MDC Nogales - NOG1,81 N Sonoita Ave,-110.943748,31.3348265,ROOFTOP,77200.83951,8.812881222
