Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Amazon AWS PDX - 79390 Olson,79390 Olson Rd,-0.0593982,46.6898363,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - 80937 Powerline,80937 Powerline Rd,11.5761802,48.220227,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - Lind Campus,81712-81718 Lind Rd,18.5618168,54.4516493,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - 81716 Lind,81716 Lind Rd,18.5601851,54.4501367,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - 81712 Lind,81712 Lind Rd,18.5618168,54.4516493,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - 81718 Lind,81718 Lind Rd,24.3565675,49.4819392,APPROXIMATE,58840.94495,6.717002849
Amazon AWS PDX - 81714 Lind,81714 Lind Rd,-0.1856044,51.3642844,GEOMETRIC_CENTER,58840.94495,6.717002849
